id,handle,sku,composite_type,composite_parent_sku,composite_quantity,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,supply_price,retail_price,loyalty_value,account_code,account_code_purchase,supplier_code_ignore,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Titan Flooring,inventory_Titan Flooring,reorder_point_Titan Flooring,restock_level_Titan Flooring
4c6a39de-71fb-4cb8-bfdf-c57e02ae0cd1,GRND12MM12COLLECTIONARLESNATURAL,LAM-GRAN-0001,,,,GRNDLAM - 12 (Arles Natural) Click | 12mm x RL - 16.68sf/b,AC rating: AC6 | Install method: Float | Locking system: Uniclic | MAP price ($/sf): 4.99 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,2.59,3.59,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
1da3161b-1388-43c1-891d-96ea6c5a9880,GRND12MM12COLLECTIONFADOGAVIA,LAM-GRAN-0003,,,,GRNDLAM - 12 (Fado Gavia) Click | 12mm x RL - 16.68sf/b,AC rating: AC6 | Install method: Float | Locking system: Uniclic | MAP price ($/sf): 4.99 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,2.59,3.59,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
63ca2876-8e3e-4539-9588-e4fa05915b37,GRND12MM12COLLECTIONFADOSOTAVENTO,LAM-GRAN-0004,,,,GRNDLAM - 12 (Fado Sotavento) Click | 12mm x RL - 16.68sf/b,AC rating: AC6 | Install method: Float | Locking system: Uniclic | MAP price ($/sf): 4.99 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,2.59,3.59,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
8fa820bd-016f-4d13-8a67-66484c08ad21,GRND12MM12COLLECTIONKALASALBAR,LAM-GRAN-0005,,,,GRNDLAM - 12 (Kalas Albar) Click | 12mm x RL - 16.68sf/b,AC rating: AC6 | Install method: Float | Locking system: Uniclic | MAP price ($/sf): 4.99 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,2.59,3.59,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
e894d55a-4aeb-4347-af4e-823e6cd6c89e,GRND12MM12COLLECTIONKALASNOZ,LAM-GRAN-0007,,,,GRNDLAM - 12 (Kalas Noz) Click | 12mm x RL - 16.68sf/b,AC rating: AC6 | Install method: Float | Locking system: Uniclic | MAP price ($/sf): 4.99 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,2.59,3.59,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
d4821c00-fa71-4b27-9d96-25c9eab72776,GRND12MM12COLLECTIONKALMARGRIS,LAM-GRAN-0006,,,,GRNDLAM - 12 (Kalmar Gris) Click | 12mm x RL - 16.68sf/b,AC rating: AC6 | Install method: Float | Locking system: Uniclic | MAP price ($/sf): 4.99 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,2.59,3.59,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
26be438f-5a00-4070-9f32-21c32cbc57ac,GRND12MM12COLLECTIONROBLETWILIGHT,LAM-GRAN-0008,,,,GRNDLAM - 12 (Roble Twilight) Click | 12mm x RL - 16.68sf/b,AC rating: AC6 | Install method: Float | Locking system: Uniclic | MAP price ($/sf): 4.99 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,2.59,3.59,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
7ecc043a-a328-4c2f-9d9f-76d41b3131f5,GRND12MM12COLLECTIONVIENADORADO,LAM-GRAN-0009,,,,GRNDLAM - 12 (Viena Dorado) Click | 12mm x RL - 16.68sf/b,AC rating: AC6 | Install method: Float | Locking system: Uniclic | MAP price ($/sf): 4.99 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,2.59,3.59,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
af323a25-3573-4aa2-8591-be9a4dc945b2,GRND12MM12COLLECTIONWEXFORDTOSTADO,LAM-GRAN-0010,,,,GRNDLAM - 12 (Wexford Tostado) Click | 12mm x RL - 16.68sf/b,AC rating: AC6 | Install method: Float | Locking system: Uniclic | MAP price ($/sf): 4.99 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,2.59,3.59,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
9a41372f-3d13-47f1-808e-9addf592b8d5,GRND12MMAQUAMATEADELAIDE,LAM-GRAN-0021,,,,GRNDLAM - Aquamate (Adelaide) Click | 12mm x RL - 23.31sf/b,AC rating: AC4 | Install method: Float | Locking system: 5G | MAP price ($/sf): 4.79 | Promo cost ($/sf): 1.99 | Promo end date: 2026-09-30 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | Salesperson notes: SALE item. No regular equivalent in this collection -> Cost/unit=SALE price per Sale rule 3. 72hr Water Resistant EIR HDF laminate -- Material type set to 'Water-Resistant Core'; Waterproof left FALSE per global rule (water-resistant is not the same as waterproof). | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,1.99,2.99,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
aca0fdd0-7677-4449-a9d4-d3f937d41a49,GRND12MMAQUAMATEALICESPRINGS,LAM-GRAN-0022,,,,GRNDLAM - Aquamate (Alice Springs) Click | 12mm x RL - 23.31sf/b,AC rating: AC4 | Install method: Float | Locking system: 5G | MAP price ($/sf): 4.79 | Promo cost ($/sf): 1.99 | Promo end date: 2026-09-30 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | Salesperson notes: SALE item. No regular equivalent in this collection -> Cost/unit=SALE price per Sale rule 3. 72hr Water Resistant EIR HDF laminate -- Material type set to 'Water-Resistant Core'; Waterproof left FALSE per global rule (water-resistant is not the same as waterproof). | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,1.99,2.99,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
f5f15bea-e4bf-400d-9244-a24bb56d9546,GRND12MMAQUAMATEBRISBANE,LAM-GRAN-0023,,,,GRNDLAM - Aquamate (Brisbane) Click | 12mm x RL - 23.31sf/b,AC rating: AC4 | Install method: Float | Locking system: 5G | MAP price ($/sf): 4.79 | Promo cost ($/sf): 1.99 | Promo end date: 2026-09-30 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | Salesperson notes: SALE item. No regular equivalent in this collection -> Cost/unit=SALE price per Sale rule 3. 72hr Water Resistant EIR HDF laminate -- Material type set to 'Water-Resistant Core'; Waterproof left FALSE per global rule (water-resistant is not the same as waterproof). | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,1.99,2.99,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
18f2e9b5-73eb-4178-852e-e5a68b4305de,GRND12MMAQUAMATECAIRNS,LAM-GRAN-0024,,,,GRNDLAM - Aquamate (Cairns) Click | 12mm x RL - 23.31sf/b,AC rating: AC4 | Install method: Float | Locking system: 5G | MAP price ($/sf): 4.79 | Promo cost ($/sf): 1.99 | Promo end date: 2026-09-30 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | Salesperson notes: SALE item. No regular equivalent in this collection -> Cost/unit=SALE price per Sale rule 3. 72hr Water Resistant EIR HDF laminate -- Material type set to 'Water-Resistant Core'; Waterproof left FALSE per global rule (water-resistant is not the same as waterproof). | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,1.99,2.99,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
19b2fdae-5ef1-432a-8574-7b930dccffbe,GRND12MMAQUAMATECANBERRA,LAM-GRAN-0025,,,,GRNDLAM - Aquamate (Canberra) Click | 12mm x RL - 23.31sf/b,AC rating: AC4 | Install method: Float | Locking system: 5G | MAP price ($/sf): 4.79 | Promo cost ($/sf): 1.99 | Promo end date: 2026-09-30 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | Salesperson notes: SALE item. No regular equivalent in this collection -> Cost/unit=SALE price per Sale rule 3. 72hr Water Resistant EIR HDF laminate -- Material type set to 'Water-Resistant Core'; Waterproof left FALSE per global rule (water-resistant is not the same as waterproof). | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,1.99,2.99,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
94b8492b-5c24-41ad-84d8-f687a1a6d215,GRND12MMAQUAMATEDARWIN,LAM-GRAN-0026,,,,GRNDLAM - Aquamate (Darwin) Click | 12mm x RL - 23.31sf/b,AC rating: AC4 | Install method: Float | Locking system: 5G | MAP price ($/sf): 4.79 | Promo cost ($/sf): 1.99 | Promo end date: 2026-09-30 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | Salesperson notes: SALE item. No regular equivalent in this collection -> Cost/unit=SALE price per Sale rule 3. 72hr Water Resistant EIR HDF laminate -- Material type set to 'Water-Resistant Core'; Waterproof left FALSE per global rule (water-resistant is not the same as waterproof). | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,1.99,2.99,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
b172256c-158a-4c0b-8770-968029069c6a,GRND12MMAQUAMATEHOBART,LAM-GRAN-0027,,,,GRNDLAM - Aquamate (Hobart) Click | 12mm x RL - 23.31sf/b,AC rating: AC4 | Install method: Float | Locking system: 5G | MAP price ($/sf): 4.79 | Promo cost ($/sf): 1.99 | Promo end date: 2026-09-30 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | Salesperson notes: SALE item. No regular equivalent in this collection -> Cost/unit=SALE price per Sale rule 3. 72hr Water Resistant EIR HDF laminate -- Material type set to 'Water-Resistant Core'; Waterproof left FALSE per global rule (water-resistant is not the same as waterproof). | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,1.99,2.99,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
c0ec0244-b58d-469b-9efc-3cfc96a47001,GRND12MMAQUAMATEMELBOURNE,LAM-GRAN-0028,,,,GRNDLAM - Aquamate (Melbourne) Click | 12mm x RL - 23.31sf/b,AC rating: AC4 | Install method: Float | Locking system: 5G | MAP price ($/sf): 4.79 | Promo cost ($/sf): 1.99 | Promo end date: 2026-09-30 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | Salesperson notes: SALE item. No regular equivalent in this collection -> Cost/unit=SALE price per Sale rule 3. 72hr Water Resistant EIR HDF laminate -- Material type set to 'Water-Resistant Core'; Waterproof left FALSE per global rule (water-resistant is not the same as waterproof). | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,1.99,2.99,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
ccf820a0-b109-4db9-9cb5-dacf2bcfcbe6,GRND12MMAQUAMATEPERTH,LAM-GRAN-0029,,,,GRNDLAM - Aquamate (Perth) Click | 12mm x RL - 23.31sf/b,AC rating: AC4 | Install method: Float | Locking system: 5G | MAP price ($/sf): 4.79 | Promo cost ($/sf): 1.99 | Promo end date: 2026-09-30 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | Salesperson notes: SALE item. No regular equivalent in this collection -> Cost/unit=SALE price per Sale rule 3. 72hr Water Resistant EIR HDF laminate -- Material type set to 'Water-Resistant Core'; Waterproof left FALSE per global rule (water-resistant is not the same as waterproof). | MatchStatus: matched,FLOORING / LAMINATE,,,,,,,,1.99,2.99,,,,,Grandeur,Grandeur,,1,1,Default Tax,,,
