id,handle,sku,name,description,variant_option_one_name,variant_option_one_value,tags,supply_price,retail_price,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Mississauga Outlet
0a6f6e36-8b89-11eb-f3d6-7e8b2a95d6af,ENG65HICBRONZE,ENG-FAWK-0001,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
0a6f6e36-8b89-11eb-f3d6-7e8b2ae299e8,ENG65HICCOFFEE,ENG-FAWK-0002,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
0a6f6e36-8b89-11eb-f3d6-7e8b2b4f72a1,ENG65HICGREYSTONE,ENG-FAWK-0003,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
0a6f6e36-8b89-11eb-f3d6-7e8b32abcfbf,ENG65HICPURENATURAL,ENG-FAWK-0004,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
0a6f6e36-8b89-11eb-f3d6-7e8b2ab1f41d,ENG65HICCAFEHOUSE,ENG-FAWK-0005,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
0a6f6e36-8b89-11eb-f3d6-7e8b2b32ab2d,ENG65HICDOWNTOWNGREY,ENG-FAWK-0006,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
0a6f6e36-8b89-11eb-f3d6-7e8b2bbe8461,ENG65HICMEYERSIDE,ENG-FAWK-0007,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
98369d2a-25c4-40d2-b1eb-5e0ce8c580a0,ENG65HICMILLSTONE,ENG-FAWK-0008,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
0a6f6e36-8b89-11eb-f3d6-7e8b2ac9fc87,ENG65HICCHESTNUT,ENG-FAWK-0009,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
121e58d7-9221-4d8a-949f-5db0d12fa5e2,ENG75HICAGEDBARREL,ENG-FAWK-0010,,,,,,4.09,5.09,NAF,Floors At Work,,1,1,Default Tax
dcd79bf3-d84b-48cb-b850-9111566a67c3,ENG75HICCACAO,ENG-FAWK-0011,,,,,,4.09,5.09,NAF,Floors At Work,,1,1,Default Tax
a439d996-06b8-45cb-bdaa-3200bf596cee,ENG75HICEARLGREY,ENG-FAWK-0012,,,,,,4.09,5.09,NAF,Floors At Work,,1,1,Default Tax
cafb1668-9d0f-4f1a-b513-c36eaea35740,ENG75HICKONA,ENG-FAWK-0013,,,,,,4.09,5.09,NAF,Floors At Work,,1,1,Default Tax
d2665407-48df-491e-b1c0-93b55545a875,ENG75HICMACADAMIA,ENG-FAWK-0014,,,,,,4.09,5.09,NAF,Floors At Work,,1,1,Default Tax
7d8fe99c-988c-406a-825b-a1218f6a3eed,ENG75HICMODERNPEWTER,ENG-FAWK-0015,,,,,,4.09,5.09,NAF,Floors At Work,,1,1,Default Tax
2267391a-c6ee-468e-bf6a-8c56160a5adc,ENG75HICNUTMEG,ENG-FAWK-0016,,,,,,4.09,5.09,NAF,Floors At Work,,1,1,Default Tax
c6a58785-f61c-4246-a4ee-2079159a1399,ENG75HICPECAN,ENG-FAWK-0017,,,,,,4.09,5.09,NAF,Floors At Work,,1,1,Default Tax
0a6f6e36-8b89-11eb-f3d6-7e8b32464651,ENG75HICRUSTICNATURAL,ENG-FAWK-0018,,,,,,4.09,5.09,NAF,Floors At Work,,1,1,Default Tax
089702d7-935f-43e8-be72-7f9387609d6c,ENG75HICSADDLEBROWN,ENG-FAWK-0019,,,,,,4.09,5.09,NAF,Floors At Work,,1,1,Default Tax
663decc3-d7db-45b3-bba8-677410d1690b,ENG65OAKCOUNTRYBROWN,ENG-FAWK-0025,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
a71a7ead-b28c-4edc-9de2-885efe0422fb,ENG65OAKIRON,ENG-FAWK-0026,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
62ac6d35-0fe3-4e1b-9640-aacca4066061,ENG65OAKMILAN,ENG-FAWK-0027,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
6fe5771a-84e2-41a4-a052-887f89a35bce,ENG65OAKDUNE168,ENG-FAWK-0028,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
e24696eb-2a54-4a8b-a98e-ff46b4caa7d4,ENG65OAKOREGONOAK168,ENG-FAWK-0029,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
676b5d18-4590-4b4f-b0d2-c6ba35cbd53d,ENG65OAKPURDY168,ENG-FAWK-0030,,,,,,3.29,4.29,NAF,Floors At Work,,1,1,Default Tax
