id,handle,sku,comp1,comp2,comp3,name,description,product_category,variant_option_one_name,variant_option_one_value,vopt2_name,vopt2_value,vopt3_name,vopt3_value,tags,supply_price,retail_price,loy1,loy2,loy3,loy4,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Mississauga Outlet,inv1,inv2,inv3
d9456941-c28e-48f5-8b74-942a34b6232c,impvin---essex-collection---55-mm-spc-viinyl-umber---4100-----7-x-60--15-eva---245sfb,LVP-IMPR-4100,,,,IMPR - Essex Collection — Umber - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.18,2.18,,,,,Impressive,Impressive,,1,1,Default Tax,,,
36b3173b-b09e-4824-afec-109facd70dcb,impvin---essex-collection---55-mm-spc-viinyl-squash---4101-----7-x-60--15-eva---245sfb,LVP-IMPR-4101,,,,IMPR - Essex Collection — Squash - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.18,2.18,,,,,Impressive,Impressive,,1,1,Default Tax,,,
7a6a5058-805d-4c70-8e0a-60e85999807f,impvin---essex-collection---55-mm-spc-viinyl-boardwalk---4102-----7-x-60--15-eva---245sfb,LVP-IMPR-4102,,,,IMPR - Essex Collection — Boardwalk - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.18,2.18,,,,,Impressive,Impressive,,1,1,Default Tax,,,
0297353d-2237-48b0-b02a-8dea854bdc8a,impvin---essex-collection---55-mm-spc-viinyl-poppy---4103-----7-x-60--15-eva---245sfb,LVP-IMPR-4103,,,,IMPR - Essex Collection — Poppy - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.18,2.18,,,,,Impressive,Impressive,,1,1,Default Tax,,,
94b54ace-fe4a-4eb4-9c95-7406859b865d,impvin---essex-collection---55-mm-spc-viinyl-berry---4104-----7-x-60--15-eva---245sfb,LVP-IMPR-4104,,,,IMPR - Essex Collection — Berry - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.18,2.18,,,,,Impressive,Impressive,,1,1,Default Tax,,,
6664e534-1f33-4cf2-b168-385db3570680,impvin---essex-collection---55-mm-spc-viinyl-eden---4105-----7-x-60--15-eva---245sfb,LVP-IMPR-4105,,,,IMPR - Essex Collection — Eden - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.18,2.18,,,,,Impressive,Impressive,,1,1,Default Tax,,,
680f3abf-1249-4940-8331-5c204b9aa710,impvin---essex-collection---55-mm-spc-viinyl-delight---4106-----7-x-60--15-eva---245sfb,LVP-IMPR-4106,,,,IMPR - Essex Collection — Delight - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.18,2.18,,,,,Impressive,Impressive,,1,1,Default Tax,,,
874f6b58-3268-4494-98cb-5419e075742a,impvin---essex-collection---55-mm-spc-viinyl-seawater---4107-----7-x-60--15-eva---245sfb,LVP-IMPR-4107,,,,IMPR - Essex Collection — Seawater - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.18,2.18,,,,,Impressive,Impressive,,1,1,Default Tax,,,
8f435f82-6065-4604-b5aa-ed485bcaa194,impvin---eterna-collection---65-mm-spc-viinyl-grape---4200-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4200,,,,IMPR - Eterna Collection — Grape - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.39,2.39,,,,,Impressive,Impressive,,1,1,Default Tax,,,
86aaab9b-183b-4d5d-bb5b-9e5f1926c774,impvin---eterna-collection---65-mm-spc-viinyl-flower---4201-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4201,,,,IMPR - Eterna Collection — Flower - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.39,2.39,,,,,Impressive,Impressive,,1,1,Default Tax,,,
767c439a-d579-4c03-a646-d15b825f038d,impvin---eterna-collection---65-mm-spc-viinyl-ocean---4202-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4202,,,,IMPR - Eterna Collection — Ocean - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.39,2.39,,,,,Impressive,Impressive,,1,1,Default Tax,,,
d3b05d6d-8c29-439d-9d7a-ba9449d340ed,impvin---eterna-collection---65-mm-spc-viinyl-iris---4203-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4203,,,,IMPR - Eterna Collection — Iris - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.39,2.39,,,,,Impressive,Impressive,,1,1,Default Tax,,,
b7eba65a-3807-4dff-a497-35883dce7bf0,impvin---eterna-collection---65-mm-spc-viinyl-pine---4204-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4204,,,,IMPR - Eterna Collection — Pine - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.39,2.39,,,,,Impressive,Impressive,,1,1,Default Tax,,,
baa70dff-0426-4186-a9b5-087214c089c2,impvin---eterna-collection---65-mm-spc-viinyl-navy---4205-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4205,,,,IMPR - Eterna Collection — Navy - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.39,2.39,,,,,Impressive,Impressive,,1,1,Default Tax,,,
10d053f0-85fe-4db3-bc59-8d461900ed50,impvin---eterna-collection---65-mm-spc-viinyl-cupid---4206-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4206,,,,IMPR - Eterna Collection — Cupid - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.39,2.39,,,,,Impressive,Impressive,,1,1,Default Tax,,,
87b9b3d7-5c89-4430-af65-d928fdea6beb,impvin---eterna-collection---65-mm-spc-viinyl-sage---4207-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4207,,,,IMPR - Eterna Collection — Sage - 24.50sf/b,Wear layer: 0.3/12 mil.,FLOORING / VINYL,,,,,,,,1.39,2.39,,,,,Impressive,Impressive,,1,1,Default Tax,,,
865899a5-677f-4921-b413-58e26a6df347,impvin---elegant-collection---75-mm-spc-viinyl-hills---4300-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4300,,,,IMPR - Elegant Collection — Hills - 21.44sf/b,Wear layer: 0.5/20 mil.,FLOORING / VINYL,,,,,,,,1.60,2.60,,,,,Impressive,Impressive,,1,1,Default Tax,,,
7b620e95-1929-43ad-a2e4-d9108c22a349,impvin---elegant-collection---75-mm-spc-viinyl-coal---4301-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4301,,,,IMPR - Elegant Collection — Coal - 21.44sf/b,Wear layer: 0.5/20 mil.,FLOORING / VINYL,,,,,,,,1.60,2.60,,,,,Impressive,Impressive,,1,1,Default Tax,,,
c846c29c-d206-4c7f-a880-056eaa76f7b4,impvin---elegant-collection---75-mm-spc-viinyl-onyx---4302-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4302,,,,IMPR - Elegant Collection — Onyx - 21.44sf/b,Wear layer: 0.5/20 mil.,FLOORING / VINYL,,,,,,,,1.60,2.60,,,,,Impressive,Impressive,,1,1,Default Tax,,,
85047505-765d-4b5c-9dec-983ac9178f69,impvin---elegant-collection---75-mm-spc-viinyl-ginger---4303-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4303,,,,IMPR - Elegant Collection — Ginger - 21.44sf/b,Wear layer: 0.5/20 mil.,FLOORING / VINYL,,,,,,,,1.60,2.60,,,,,Impressive,Impressive,,1,1,Default Tax,,,
2c626e81-da3c-483e-b651-2ca4f836cea1,impvin---elegant-collection---75-mm-spc-viinyl-sandal---4304-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4304,,,,IMPR - Elegant Collection — Sandal - 21.44sf/b,Wear layer: 0.5/20 mil.,FLOORING / VINYL,,,,,,,,1.60,2.60,,,,,Impressive,Impressive,,1,1,Default Tax,,,
6149e053-0d4a-4b3e-aa4c-d18b5482bff2,impvin---elegant-collection---75-mm-spc-viinyl-cedar---4305-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4305,,,,IMPR - Elegant Collection — Cedar - 21.44sf/b,Wear layer: 0.5/20 mil.,FLOORING / VINYL,,,,,,,,1.60,2.60,,,,,Impressive,Impressive,,1,1,Default Tax,,,
42bd5f20-af3a-4ca7-b891-19b25655a639,impvin---elegant-collection---75-mm-spc-viinyl-horizon---4306-----7-x-60--15-ixpe---245sfb,LVP-IMPR-4306,,,,IMPR - Elegant Collection — Horizon - 21.44sf/b,Wear layer: 0.5/20 mil.,FLOORING / VINYL,,,,,,,,1.60,2.60,,,,,Impressive,Impressive,,1,1,Default Tax,,,
