id,handle,sku,composite_name,composite_sku,composite_quantity,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,supply_price,retail_price,loyalty_value,loyalty_value_default,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Mississauga_Outlet,inventory_Mississauga_Outlet,reorder_point_Mississauga_Outlet,reorder_quantity_Mississauga_Outlet,min_quantity_Mississauga_Outlet,max_quantity_Mississauga_Outlet
00ebd990-3fef-4320-a536-c9943eac848c,HMPR8VANCOUVER,LVP-HMPR-0004,,,,HMPRLVP - Vancouver Click | 8mm x 22mil - 17.92sf/b,,SPC,,,,,,,,1.98,2.98,,,,,Home's Pro,Home's Pro,,1,,,,,,,
1f2e1557-8176-4466-92f6-c5bda26f7ac8,HMPRIXPEUNDERLAY,ACC-HMPR-0001,,,,Home's Pro - Sundry | Underlay | 3mm STC76 IIC77 - 100.00sf/b,,ACCESSORIES,,,,,,,,13.00,33.00,,,,,Home's Pro,Home's Pro,,1,,,,,,,
5a2636c1-13f8-4b78-8da8-8f849270b3bd,HMPRTMOULDING,ACC-HMPR-0003,,,,Home's Pro - Transition | T-Moulding | SPC,,ACCESSORIES,,,,,,,,19.50,29.50,,,,,Home's Pro,Home's Pro,,1,,,,,,,
825dc1f1-af7c-4a6e-a431-2d6de924bcb5,HMPR55MILAN,LVP-HMPR-0001,,,,HMPRLVP - Milan Click | 5.5mm x 12mil - 23.90sf/b,,SPC,,,,,,,,1.45,2.45,,,,,Home's Pro,Home's Pro,,1,,,,,,,
c51589a9-4f1c-4622-8248-0279d31593a9,HMPRMULTISURFACEPROTECTOR,ACC-HMPR-0002,,,,Home's Pro - Sundry | Floor Protection | 3.28ft x 49ft - 161.00sf/b,,ACCESSORIES,,,,,,,,17.50,18.50,,,,,Home's Pro,Home's Pro,,1,,,,,,,
e14cb675-52a0-461f-a9c7-4a5d380f79a1,HMPRREDUCER,ACC-HMPR-0005,,,,Home's Pro - Transition | Reducer | SPC,,ACCESSORIES,,,,,,,,19.50,29.50,,,,,Home's Pro,Home's Pro,,1,,,,,,,
e9b2c0b6-7ccb-4b23-981c-1c6870a5dd05,HMPR3HOLLAND,LVT-HMPR-0001,,,,HMPRLVT - Holland Glue Down | 3mm x 20mil - 34.58sf/b,,SPC,,,,,,,,1.25,2.25,,,,,Home's Pro,Home's Pro,,1,,,,,,,
3e0d6e61-dea4-4f3e-ab33-a0e3e067cfb3,HMPR12TUSCANY,LAM-HMPR-0001,,,,HMPRLAM - Tuscany 72H Waterproof AC4 | 12mm - 19.20sf/b,,LAMINATE,,,,,,,,1.65,2.65,,,,,Home's Pro,Home's Pro,,1,,,,,,,
89152277-ae1b-4b75-b80a-b94816683827,HMPRSTAIRNOSING,ACC-HMPR-0004,,,,Home's Pro - Transition | Stair Nosing | SPC,,ACCESSORIES,,,,,,,,24.50,39.50,,,,,Home's Pro,Home's Pro,,1,,,,,,,
7788160a-38c1-4ddc-b93e-9eaf252c0dce,p-homvin---spc-baku-click--hom662-----716-x-4803x-65mm-5mm15ixpe---1912sfb,HOM.662,,,,"HOMVIN - VENICE - SPC (Baku) Click | #HOM.662 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.68,2.68,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
c6e676d3-aa12-4ea5-b01d-14d4bab2f3b9,p-homvin---spc-cody-click--hom669-----716-x-4803x-65mm-5mm15ixpe---1912sfb,HOM.669,,,,"HOMVIN - VENICE - SPC (Cody) Click | #HOM.669 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.68,2.68,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
3481760e-ba3f-4153-988d-0bbebac35d64,p-homvin---spc-dove-click--hom667-----716-x-4803x-65mm-5mm15ixpe---1912sfb,HOM.667,,,,"HOMVIN - VENICE - SPC (Dover) Click | #HOM.667 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.68,2.68,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
7aa21f4e-9399-43ab-b12c-7e9da3923f37,p-homvin---spc-gabon-click--hom664-----716-x-4803x-65mm-5mm15ixpe---1912sfb,HOM.664,,,,"HOMVIN - VENICE - SPC (Gabon) Click | #HOM.664 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.68,2.68,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
ebbe229a-a3dd-4c86-a992-f13020f11bb3,p-homvin---spc-havana-click--hom66b-----716-x-4803x-65mm-5mm15ixpe---1912sfb,HOM.66B,,,,"HOMVIN - VENICE - SPC (Havana) Click | #HOM.66B |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.68,2.68,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
c01d07a5-3624-4e2a-bda2-8043c0231565,p-homvin---spc-hawaii-click--hom66a-----716-x-4803x-65mm-5mm15ixpe---1912sfb,HOM.66A,,,,"HOMVIN - VENICE - SPC (Hawaii) Click | #HOM.66A |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.68,2.68,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
a8c690fb-3fc9-4430-b41b-5fe3ff2f393d,p-homvin---spc-luka-click--hom666-----716-x-4803x-65mm-5mm15ixpe---1912sfb,HOM.666,,,,"HOMVIN - VENICE - SPC (Luka) Click | #HOM.666 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.68,2.68,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
14e685b0-9afb-48f3-a92a-d4d8b96a7f16,p-homvin---spc-maine-click--hom665-----716-x-4803x-65mm-5mm15ixpe---1912sfb,HOM.665,,,,"HOMVIN - VENICE - SPC (Maine) Click | #HOM.665 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.68,2.68,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
6510870c-4b7b-416d-996c-0c433b837726,p-homvin---spc-malta-click--hom663-----716-x-4803x-65mm-5mm15ixpe---1912sfb,HOM.663,,,,"HOMVIN - VENICE - SPC (Malta) Click | #HOM.663 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.68,2.68,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
cceffbf1-c444-4e3c-a959-ff21fbd68409,p-homvin---spc-alaska-click--hom660-----716-x-4803x-65mm-5mm15ixpe---1912sfb,HOM.660,,,,"HOMVIN - VENICE - SPC (Texas) Click | #HOM.660 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.68,2.68,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
75940d9a-9ee7-424f-a92b-defe53645769,p-homvin---spc-texas-click--hom661-----716-x-4803x-65mm-5mm15ixpe---1912sfb,HOM.661,,,,"HOMVIN - VENICE - SPC (Texas) Click | #HOM.661 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.68,2.68,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
278226d5-61b9-42f7-bfe6-17a922da733a,p-homvin---spc-troy-click--hom668-----716-x-4803x-65mm-5mm15ixpe---1912sfb,HOM.668,,,,"HOMVIN - VENICE - SPC (Troy) Click | #HOM.668 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.68,2.68,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
4fba1984-9277-40e5-97ca-efb0be58b5a4,p-homvin---spc-bonjour-click--hom771-----716-x-4803x-7mm-55mm15ixpe---1912sfb,HOM.771,,,,"HOMVIN - MOSCOW - SPC (Bonjour) Click | #HOM.771 |  - 7.16"" x 48.03""x 7mm (5.5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.88,2.88,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
19667356-2a33-4a64-b04b-c0d6874e8133,p-homvin---spc-hola-click--hom772-----716-x-4803x-7mm-55mm15ixpe---1912sfb,HOM.772,,,,"HOMVIN - MOSCOW - SPC (Hola) Click | #HOM.772 |  - 7.16"" x 48.03""x 7mm (5.5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.88,2.88,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
97c5cfba-3b85-4cc8-b3a8-908b37025d62,p-homvin---spc-marhaba-click--hom773-----716-x-4803x-7mm-55mm15ixpe---1912sfb,HOM.773,,,,"HOMVIN - MOSCOW - SPC (Marhaba) Click | #HOM.773 |  - 7.16"" x 48.03""x 7mm (5.5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.88,2.88,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
5daa06f3-0276-44f4-b8dc-3b3416ef38f2,p-homvin---spc-namaste-click--hom776-----716-x-4803x-7mm-55mm15ixpe---1912sfb,HOM.776,,,,"HOMVIN - MOSCOW - SPC (Namaste) Click | #HOM.776 |  - 7.16"" x 48.03""x 7mm (5.5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.88,2.88,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
4e4c4dfa-410d-4ab8-9067-de828549d4c7,p-homvin---spc-salve-click--hom774-----716-x-4803x-7mm-55mm15ixpe---1912sfb,HOM.774,,,,"HOMVIN - MOSCOW - SPC (Salve) Click | #HOM.774 |  - 7.16"" x 48.03""x 7mm (5.5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.88,2.88,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
1f698aa2-1e52-4158-af1c-f06ea1d6de3e,p-homvin---spc-shalom-click--hom775-----716-x-4803x-7mm-55mm15ixpe---1912sfb,HOM.775,,,,"HOMVIN - MOSCOW - SPC (Shalom) Click | #HOM.775 |  - 7.16"" x 48.03""x 7mm (5.5mm+1.5IXPE) - 19.12sf/b",,VINYL,,,,,,,,1.88,2.88,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
7c7056ed-d0d0-41fe-866f-cddaee8dd646,p-homvin---spc-birch-hills-herringbone--hom6003-----591-x-2953x-6mm45mm15cork---1938sfb,HOM.6003,,,,"HOMVIN - SYDNEY - SPC (Birch Hills) Herringbone | #HOM.6003 |  - 6"" x 29.5""x 6mm(4.5mm+1.5Cork) - 19.38sf/b",,VINYL,,,,,,,,1.98,2.98,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
d1590a1d-6a8c-43ff-a734-52e1a2e8f3b2,p-homvin---spc-castletown-herringbone--hom6004-----591-x-2953x-6mm45mm15cork---1938sfb,HOM.6004,,,,"HOMVIN - SYDNEY - SPC (Castletown) Herringbone | #HOM.6004 |  - 6"" x 29.5""x 6mm(4.5mm+1.5Cork) - 19.38sf/b",,VINYL,,,,,,,,1.98,2.98,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
3ec1bd5c-1743-4f50-b6ab-dab4a9a9945e,p-homvin---spc-divibeach-herringbone--hom6001-----591-x-2953x-6mm45mm15cork---1938sfb,HOM.6001,,,,"HOMVIN - SYDNEY - SPC (Divibeach) Herringbone | #HOM.6001 |  - 6"" x 29.5""x 6mm(4.5mm+1.5Cork) - 19.38sf/b",,VINYL,,,,,,,,1.98,2.98,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
20a88283-f02e-41d9-b453-e0c5f917f6fb,p-homvin---spc-sunderland-herringbone--hom6002-----591-x-2953x-6mm45mm15cork---1938sfb,HOM.6002,,,,"HOMVIN - SYDNEY - SPC (Sunderland) Herringbone | #HOM.6002 |  - 6"" x 29.5""x 6mm(4.5mm+1.5Cork) - 19.38sf/b",,VINYL,,,,,,,,1.98,2.98,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
52cefca1-7e15-46bc-93de-a39fa58e527c,p-homvin---looselay-arish-looselay--hom4004-----4831-x-736x-5mm----1976sfb,HOM.4004,,,,"HOMVIN - SEOUL - Looselay (Arish) Looselay | #HOM.4004 |  - 48.31"" x 7.36""x 5mm  - 19.76sf/b",,VINYL,,,,,,,,1.78,2.78,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
7ab6ab72-59d1-4602-944a-eb89679c1601,p-homvin---looselay-bursa-looselay--hom4001-----4831-x-736x-5mm----1976sfb,HOM.4001,,,,"HOMVIN - SEOUL - Looselay (Bursa) Looselay | #HOM.4001 |  - 48.31"" x 7.36""x 5mm  - 19.76sf/b",,VINYL,,,,,,,,1.78,2.78,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
70f28bc5-d19a-48f7-9dea-6fff4c3a4851,p-homvin---looselay-pune-looselay--hom4002-----4831-x-736x-5mm----1976sfb,HOM.4002,,,,"HOMVIN - SEOUL - Looselay (Pune) Looselay | #HOM.4002 |  - 48.31"" x 7.36""x 5mm  - 19.76sf/b",,VINYL,,,,,,,,1.78,2.78,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
55cce7c3-1b2e-4b93-9564-2a41ddb0a75e,p-homvin---looselay-seto-looselay--hom4003-----4831-x-736x-5mm----1976sfb,HOM.4003,,,,"HOMVIN - SEOUL - Looselay (Seto) Looselay | #HOM.4003 |  - 48.31"" x 7.36""x 5mm  - 19.76sf/b",,VINYL,,,,,,,,1.78,2.78,,,,,Home's Pro,HOMESPRO,,1,,,,,,,
