id,handle,sku,col4,col5,col6,name,description,product_category,variant_option_one_name,variant_option_one_value,col12,col13,col14,col15,tags,supply_price,retail_price,col19,col20,col21,col22,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Mississauga Outlet,col29,col30,col31
818b75f5-6d95-43f7-af03-445870c0305f,FLDCTILTILFLDC0001,TIL-FLDC-0001,,,,FLDCTIL - Porcelain (Noor Statuario) | 12 x 24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Pallet price ($/sf): 1.59 | Volume pricing notes: Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.3: 'NOOR STATUARIO POLISHED', 12 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.69,3.69,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
e22cad89-0aaf-4c04-97d7-f32f4b6b5731,FLDCTILTILFLDC0002,TIL-FLDC-0002,,,,FLDCTIL - Porcelain (Noor Statuario) | 12 x 24 | Matte - 16.00sf/b,"Finish type: Matte | Material type: Porcelain | Pallet price ($/sf): 1.59 | Volume pricing notes: Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.3: 'NOOR STATUARIO POLISHED', 12 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.69,3.69,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
42ae3320-2833-4c54-84ee-1aa987d37942,FLDCTILTILFLDC0003,TIL-FLDC-0003,,,,FLDCTIL - Porcelain (Noor Statuario) | 24 x 24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Pallet price ($/sf): 1.59 | Volume pricing notes: Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.3: 'NOOR STATUARIO POLISHED', 24 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.69,3.69,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
71e20171-d32a-483f-bd46-33b780a01fea,FLDCTILTILFLDC0004,TIL-FLDC-0004,,,,FLDCTIL - Porcelain (Noor Statuario) | 24 x 24 | Matte - 16.00sf/b,"Finish type: Matte | Material type: Porcelain | Pallet price ($/sf): 1.59 | Volume pricing notes: Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.3: 'NOOR STATUARIO POLISHED', 24 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.69,3.69,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
12ba69a7-13a4-4e21-a1a5-52f6acf1d563,FLDCTILTILFLDC0005,TIL-FLDC-0005,,,,FLDCTIL - Porcelain (Noor Statuario) | 24 x 48 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Pallet price ($/sf): 1.89 | Volume pricing notes: Loose $1.99/sf, Skid $1.89/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.3: 'NOOR STATUARIO POLISHED', 24 x 48. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.99,3.99,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
80897b90-c0b1-4b49-b6a4-07a1dbe79b1b,FLDCTILTILFLDC0006,TIL-FLDC-0006,,,,FLDCTIL - Porcelain (Noor Statuario) | 24 x 48 | Matte - 16.00sf/b,"Finish type: Matte | Material type: Porcelain | Pallet price ($/sf): 1.89 | Volume pricing notes: Loose $1.99/sf, Skid $1.89/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.3: 'NOOR STATUARIO POLISHED', 24 x 48. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.99,3.99,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
47929d6a-1419-4112-a84f-0156301808c8,FLDCTILTILFLDC0007,TIL-FLDC-0007,,,,FLDCTIL - Porcelain (Belinda Gold) | 12 x 24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Pallet price ($/sf): 1.59 | Volume pricing notes: Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.4: 'BELINDA GOLD POLISHED', 12 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.69,3.69,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
7097bd28-3576-4a3a-aad6-bc20f82612c3,FLDCTILTILFLDC0008,TIL-FLDC-0008,,,,FLDCTIL - Porcelain (Belinda Gold) | 24 x 24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Pallet price ($/sf): 1.59 | Volume pricing notes: Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.4: 'BELINDA GOLD POLISHED', 24 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.69,3.69,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
ea7324c1-adcc-4ae8-b51d-c8bac947ce49,FLDCTILTILFLDC0009,TIL-FLDC-0009,,,,FLDCTIL - Porcelain (Belinda Gold) | 24 x 24 | Matte - 16.00sf/b,"Finish type: Matte | Material type: Porcelain | Pallet price ($/sf): 1.59 | Volume pricing notes: Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.4: 'BELINDA GOLD POLISHED', 24 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.69,3.69,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
004fe604-dd95-4145-9bc2-533de65301c6,FLDCTILTILFLDC0010,TIL-FLDC-0010,,,,FLDCTIL - Porcelain (Belinda Gold) | 24 x 48 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Pallet price ($/sf): 1.89 | Volume pricing notes: Loose $1.99/sf, Skid $1.89/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.4: 'BELINDA GOLD POLISHED', 24 x 48. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.99,3.99,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
dc1a4148-859d-4b15-b425-35c6248fc815,FLDCTILTILFLDC0011,TIL-FLDC-0011,,,,FLDCTIL - Porcelain (Belinda Gold) | 24 x 48 | Matte - 16.00sf/b,"Finish type: Matte | Material type: Porcelain | Pallet price ($/sf): 1.89 | Volume pricing notes: Loose $1.99/sf, Skid $1.89/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.4: 'BELINDA GOLD POLISHED', 24 x 48. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.99,3.99,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
3ca3aa94-dff2-4216-b619-74837af49e7d,FLDCTILTILFLDC0012,TIL-FLDC-0012,,,,FLDCTIL - Porcelain (Leez Calcatta Natural) | 12 x 24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Pallet price ($/sf): 1.59 | Volume pricing notes: Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.5: 'LEEZ CALCATTA NATURAL POLISHED', 12 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.69,3.69,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
16eaa7fe-eb76-4c09-9295-9d60d2851788,FLDCTILTILFLDC0013,TIL-FLDC-0013,,,,FLDCTIL - Porcelain (Leez Calcatta Natural) | 24 x 24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Pallet price ($/sf): 1.59 | Volume pricing notes: Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.5: 'LEEZ CALCATTA NATURAL POLISHED', 24 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.69,3.69,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
736f6642-61d2-4c25-aeb2-67755e40b550,FLDCTILTILFLDC0014,TIL-FLDC-0014,,,,FLDCTIL - Porcelain (Leez Calcatta Natural) | 24 x 48 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Pallet price ($/sf): 1.89 | Volume pricing notes: Loose $1.99/sf, Skid $1.89/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.5: 'LEEZ CALCATTA NATURAL POLISHED', 24 x 48. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.99,3.99,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
abe772c7-fc21-4641-b128-24dfde79a18e,FLDCTILTILFLDC0015,TIL-FLDC-0015,,,,FLDCTIL - Porcelain (Belinda White) | 12 x 24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Pallet price ($/sf): 1.59 | Volume pricing notes: Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.6: 'BELINDA WHITE POLISHED', 12 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.69,3.69,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
c902bdba-ebf0-4ea9-8977-919639db03ac,FLDCTILTILFLDC0016,TIL-FLDC-0016,,,,FLDCTIL - Porcelain (Belinda White) | 12 x 24 | Matte - 16.00sf/b,"Finish type: Matte | Material type: Porcelain | Pallet price ($/sf): 1.59 | Volume pricing notes: Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03) | Box size (sf): 16.00 | Salesperson notes: Brochure p.6: 'BELINDA WHITE POLISHED', 12 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",TILE,,,,,,,,1.69,3.69,,,,,,FLOOR & DECOR,,1,1,Default Tax,,,
