id,handle,sku,col4,col5,col6,name,description,product_category,variant_option_one_name,variant_option_one_value,col12,col13,col14,col15,tags,supply_price,retail_price,col19,col20,col21,col22,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Mississauga Outlet,col29,col30,col31
b73c3bd7-482e-4860-bd45-ab8f07d70835,jlttil---porcelain-dino-light---dn36331-----1224---8pcb,TIL-JLTI-DN36331,,,,JLTITIL - Essential Collection (Dino Light) | 12 x 24 | Polished - 16.00sf/b,Finish type: Polished | Material type: Porcelain | Box size (sf): 16 | Pieces per box: 8 | Salesperson notes: Strips,FLOORING / TILE,,,,,,,,2.18,4.18,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,
a439da51-a5cf-4f7d-8eea-b8df570f9958,jlttil---porcelain-dino-light---dn60331-----2424---4pcb,TIL-JLTI-DN60331,,,,JLTITIL - Essential Collection (Dino Light) | 24 x 24 | Polished - 16.00sf/b,Finish type: Polished | Material type: Porcelain | Box size (sf): 16 | Pieces per box: 4,FLOORING / TILE,,,,,,,,2.18,4.18,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,
0444fa1f-7441-4177-a0d5-0196746bd410,jlttil---porcelain-dream-white---dm36341-----1224---8pcb,TIL-JLTI-DM36341,,,,JLTITIL - Essential Collection (Dream White) | 12 x 24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Box size (sf): 16 | Pieces per box: 8 | Salesperson notes: 2"" Square and Hex",FLOORING / TILE,,,,,,,,2.18,4.18,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,
23147bde-35c3-409c-94fa-3e404671ad77,jlttil---porcelain-dream-white---dm60341-----2424---4pcb,TIL-JLTI-DM60341,,,,JLTITIL - Essential Collection (Dream White) | 24 x 24 | Polished - 16.00sf/b,Finish type: Polished | Material type: Porcelain | Box size (sf): 16 | Pieces per box: 4,FLOORING / TILE,,,,,,,,2.18,4.18,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,
09e85f67-f07f-49e5-a40b-166978983913,jlttil---porcelain-essence-grey---am36325-----1224---8pcb,TIL-JLTI-AM36325,,,,JLTITIL - Essential Collection (Essence Grey) | 12 x 24 | Polished - 16.00sf/b,Finish type: Polished | Material type: Porcelain | Box size (sf): 16 | Pieces per box: 8 | Salesperson notes: 2X2 Square and Strips,FLOORING / TILE,,,,,,,,2.18,4.18,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,
b80a1829-eaa3-4bf6-addb-3209cc24ae7a,jlttil---porcelain-essence-grey---am60325-----2424---4pcb,TIL-JLTI-AM60325,,,,JLTITIL - Essential Collection (Essence Grey) | 24 x 24 | Polished - 16.00sf/b,Finish type: Polished | Material type: Porcelain | Box size (sf): 16 | Pieces per box: 4,FLOORING / TILE,,,,,,,,2.18,4.18,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,
3b2350eb-4442-4a60-af02-63af20c3b70f,jlttil---porcelain-essence-grey---am48325-----1632---4pcb,TIL-JLTI-AM48325,,,,JLTITIL - Essential Collection (Essence Grey) | 16 x 32 | Polished - 14.24sf/b,Finish type: Polished | Material type: Porcelain | Box size (sf): 14.24 | Pieces per box: 4,FLOORING / TILE,,,,,,,,2.18,4.18,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,
46601cf1-cbbd-488b-b6a9-9cef96506584,jlttil---porcelain-midnight-charcoal---pjq36706-----1224---8pcb,TIL-JLTI-PJQ36706,,,,JLTITIL - Essential Collection (Midnight Charcoal) | 12 x 24 | Polished - 16.00sf/b,Finish type: Polished | Material type: Porcelain | Box size (sf): 16 | Pieces per box: 8 | Salesperson notes: N/A,FLOORING / TILE,,,,,,,,3.50,5.50,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,
38d5e3d1-d83d-4f60-a5ac-c23153b65f1f,jlttil---porcelain-midnight-charcoal---pjq6706-----2424---4pcb,TIL-JLTI-PJQ6706,,,,JLTITIL - Essential Collection (Midnight Charcoal) | 24 x 24 | Polished - 16.00sf/b,Finish type: Polished | Material type: Porcelain | Box size (sf): 16 | Pieces per box: 4,FLOORING / TILE,,,,,,,,3.50,5.50,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,
fcb4f065-0aa8-4964-8a1c-32ffc40bdfc7,jlttil---porcelain-rodas-bianco---bpck36007-----1224---8pcb,TIL-JLTI-BPCK36007,,,,JLTITIL - Essential Collection (Rodas Bianco) | 12 x 24 | Polished - 16.00sf/b,Finish type: Polished | Material type: Porcelain | Box size (sf): 16 | Pieces per box: 5 | Salesperson notes: 2X2 Square,FLOORING / TILE,,,,,,,,2.18,4.18,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,
